words,count
route,0.9693123548553331
pokemon,0.8661273891167867
pokedex,0.7561604589465487
path,0.7399254994619547
gen,0.7107711593211153
evolve,0.672293913917355
fashioned,0.563282410145744
dislike,0.563282410145744
skitty,0.4492413565366376
small,0.43306369455839333
catch,0.38217759124665174
rocket,0.3599831662821791
team,0.3599831662821791
guys,0.34036889165613243
ekans,0.32513107458384743
flying,0.32513107458384743
air,0.32513107458384743
join,0.32513107458384743
nearby,0.30349656531277247
metapod,0.30349656531277247
caterpie,0.30349656531277247
checked,0.30349656531277247
assistance,0.27643066557934604
pop,0.27643066557934604
free,0.27643066557934604
grunts,0.27643066557934604
feel,0.27643066557934604
rest,0.27643066557934604
remember,0.27643066557934604
centre,0.27643066557934604
notify,0.27643066557934604
alert,0.27643066557934604
careful,0.27643066557934604
late,0.25251123575756595
mega,0.25251123575756595
minutes,0.25251123575756595
magikarps,0.25251123575756595
luckily,0.25251123575756595
long,0.25251123575756595
hurry,0.25251123575756595
lake,0.25251123575756595
gyarados,0.25251123575756595
flew,0.25251123575756595
drat,0.25251123575756595
coming,0.25251123575756595
choice,0.2246206782683188
cat,0.2246206782683188
plan,0.2246206782683188
catching,0.2246206782683188
normal,0.2246206782683188
totally,0.2246206782683188
school,0.2246206782683188
friend,0.2246206782683188
good,0.2246206782683188
breed,0.2246206782683188
practice,0.16256553729192372
training,0.16256553729192372
slow,0.16256553729192372
13,0.16256553729192372
opposite,0.16256553729192372
nice,0.16256553729192372
mountatins,0.16256553729192372
meeting,0.16256553729192372
meadow,0.16256553729192372
heal,0.16256553729192372
gym,0.16256553729192372
clear,0.16256553729192372
chance,0.16256553729192372
brocks,0.16256553729192372
battle,0.16256553729192372
area,0.16256553729192372
type,0.16256553729192372
