words,count
pokemon,1.0323383562353856
pokedex,0.8403213855890346
fashioned,0.6350907205215048
dislike,0.6350907205215048
skitty,0.5218234880251023
catch,0.46094438609224664
guys,0.4042825428311008
team,0.38771168199425476
rocket,0.38771168199425476
join,0.38713122308445347
ekans,0.38713122308445347
nearby,0.36855188222609847
metapod,0.36855188222609847
caterpie,0.36855188222609847
checked,0.36855188222609847
long,0.2994532788213163
lake,0.2994532788213163
late,0.2994532788213163
luckily,0.2994532788213163
magikarps,0.2994532788213163
minutes,0.2994532788213163
gyarados,0.2994532788213163
hurry,0.2994532788213163
drat,0.2994532788213163
coming,0.2994532788213163
centre,0.2792452644832754
remember,0.2792452644832754
grunts,0.2792452644832754
free,0.2792452644832754
feel,0.2792452644832754
rest,0.2792452644832754
alert,0.2792452644832754
notify,0.2792452644832754
assistance,0.2792452644832754
pop,0.2792452644832754
careful,0.2792452644832754
totally,0.26091174401255113
plan,0.26091174401255113
cat,0.26091174401255113
catching,0.26091174401255113
good,0.26091174401255113
choice,0.26091174401255113
school,0.26091174401255113
friend,0.26091174401255113
practice,0.19356561154222673
slow,0.19356561154222673
13,0.19356561154222673
opposite,0.19356561154222673
nice,0.19356561154222673
mountatins,0.19356561154222673
meeting,0.19356561154222673
meadow,0.19356561154222673
heal,0.19356561154222673
gym,0.19356561154222673
clear,0.19356561154222673
chance,0.19356561154222673
brocks,0.19356561154222673
battle,0.19356561154222673
area,0.19356561154222673
training,0.19356561154222673
